"","pid","qa001b","gender","dispatch","qg12","qg10","qg1001","qg901","qg702","qn4003","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qea0","qp605","qu201","qu202","qu802","qu702","w01","kwa2_b_1","qn203","qn4001","qn201_b_1","qn202"
"18",110026102,NA,1,"Contract",2e+05,5,NA,2000,NA,5,4,4,78,6,6,5,7,2,"城镇治疗",1,1,5,1,NA,NA,5,5,5,7
"19",110043101,NA,1,"Contract",35000,1,350,300,NA,1,4,4,79,5,10,10,10,2,"城镇治疗",5,5,1,NA,NA,NA,NA,5,2,NA
"20",110043102,NA,0,"Dispatch",24000,5,NA,360,NA,5,4,4,79,1,8,8,8,2,"城镇治疗",1,5,5,1,NA,NA,5,5,0,7
"21",110043107,NA,1,"Contract",70000,1,850,830,NA,1,4,4,78,5,8,0,8,1,"城镇治疗",1,1,5,7,6,NA,5,5,1,3
"22",110050103,NA,1,"Contract",48000,1,500,800,NA,5,3,3,78,0,4,5,5,2,"城镇居民",5,5,3,NA,5,NA,NA,5,0,NA
"23",110051104,NA,0,"Contract",40000,1,200,300,NA,1,3,4,78,5,10,8,6,2,"城镇治疗",1,1,5,1,5,NA,5,5,2,7
"24",110060102,NA,0,"Contract",6000,5,NA,NA,NA,5,3,4,78,2,8,3,5,2,"城镇治疗",1,5,5,NA,NA,NA,5,5,3,3
"25",110060103,NA,0,"Dispatch",80000,1,700,700,3000,5,4,4,78,3,10,10,10,2,"城镇治疗",1,5,5,1,6,NA,5,5,1,1
"26",110062531,NA,0,"Contract",26800,1,342,347,NA,5,4,4,78,2,10,8,10,2,"公费治疗",1,5,5,1,5,NA,1,5,0,1
"27",110064101,NA,1,"Contract",150000,1,NA,NA,10000,1,4,5,79,5,4,6,8,4,"城镇治疗",1,1,5,1,6,NA,5,5,0,7
"28",110067101,NA,0,"Contract",220000,1,2500,2100,NA,5,1,1,78,2,9,9,10,1,"城镇治疗",1,1,5,NA,7,NA,5,5,0,7
"29",110069103,NA,1,"Contract",53800,1,460,1000,NA,1,4,4,78,NA,NA,8,7,1,"城镇治疗",1,1,3,1,7,NA,5,5,7,0
"30",110078101,NA,1,"Contract",60000,5,NA,350,NA,1,4,4,79,1,10,10,8,2,"城镇治疗",1,5,4,1,NA,NA,5,NA,7,7
"31",110078104,NA,0,"Contract",36000,1,260,350,1200,1,4,4,78,5,10,10,7,2,"城镇治疗",1,5,3,1,6,NA,5,5,7,2
"32",110111103,NA,0,"Contract",NA,NA,NA,NA,NA,1,4,4,78,3,8,8,1,2,"城镇治疗",1,1,5,1,6,NA,5,5,0,0
"33",110114103,NA,0,"Contract",60000,5,NA,1200,NA,5,4,4,2,3,4,10,10,1,"城镇居民",1,1,5,1,6,NA,5,5,7,0
"34",110124101,NA,1,"Contract",120000,1,1000,1200,1500,5,5,5,78,8,10,5,5,2,"城镇居民",1,1,5,1,7,NA,5,5,2,7
"35",110124102,NA,0,"Contract",70000,1,800,250,NA,5,4,5,78,1,10,5,5,2,"一无所有",1,1,5,1,7,NA,5,5,0,7
"36",110165102,NA,1,"Contract",120000,5,NA,2020,NA,5,4,4,78,5,10,8,10,2,"城镇治疗",1,1,3,4,NA,NA,5,5,2,7
"37",110754501,NA,1,"Contract",45000,1,NA,300,2000,5,4,4,78,8,4,5,5,2,"城镇治疗",1,1,4,4,4,NA,5,5,0,7
"38",111065501,NA,1,"Contract",45000,5,NA,200,NA,5,2,3,78,3,10,10,10,2,"城镇居民",1,1,5,1,6,NA,5,5,1,7
"39",111230551,NA,1,"Contract",60000,5,NA,NA,NA,5,5,4,78,5,8,5,8,2,"新型农村",1,5,5,7,5,NA,5,5,NA,0
"40",115986501,NA,1,"Contract",35000,1,390,400,500,1,2,3,78,5,7,7,6,2,"新型农村",1,1,4,7,5,NA,5,5,2,3
"41",120007101,NA,1,"Contract",50400,1,700,850,NA,1,2,2,78,0,10,10,10,2,"城镇治疗",1,1,4,1,7,NA,1,NA,0,7
"42",120008101,NA,1,"Contract",50000,1,1100,1500,2000,1,4,4,78,4,9,6,6,2,"公费治疗",1,1,3,1,NA,NA,5,NA,7,7
"43",120008103,NA,0,"Contract",1e+05,1,1700,2000,30000,5,3,4,78,5,6,6,5,2,NA,1,1,5,1,7,NA,5,NA,0,2
"44",120009102,NA,0,"Dispatch",70000,1,246,400,NA,5,3,3,78,6,8,7,10,2,"城镇治疗",1,1,5,2,7,NA,5,5,0,3
"45",120013101,NA,0,"Dispatch",80000,1,2000,3000,NA,1,4,4,78,5,6,8,8,2,"城镇治疗",1,1,4,1,8,NA,5,NA,0,5
"46",120020101,NA,0,"Contract",13800,5,NA,NA,NA,1,4,4,78,6,5,5,5,2,"公费治疗",1,1,5,NA,NA,NA,5,5,7,7
"47",120026101,NA,0,"Contract",74000,1,1300,2800,NA,1,3,3,78,4,6,7,6,2,"城镇治疗",1,1,5,1,NA,NA,5,5,3,3
"48",120026102,NA,1,"Contract",34200,1,420,800,NA,1,3,3,78,5,5,6,5,2,"城镇治疗",1,1,3,5,NA,NA,5,5,7,2
"49",120029102,NA,1,"Contract",NA,NA,NA,NA,NA,5,2,3,78,4,5,5,3,2,"新型农村",1,1,5,NA,5,NA,5,5,1,7
"50",120031103,NA,0,"Contract",50000,1,500,700,NA,1,4,4,78,3,10,9,9,2,"城镇治疗",1,1,5,1,7,NA,5,NA,7,3
"51",120034103,NA,0,"Contract",43000,5,NA,NA,500,5,3,3,78,8,5,8,8,2,"一无所有",1,5,5,1,7,NA,5,NA,0,0
"52",120039101,NA,0,"Dispatch",25000,1,300,300,2000,1,3,4,2,4,8,7,6,2,"城镇治疗",1,5,4,3,6,NA,5,5,0,2
"53",120046102,NA,1,"Contract",NA,NA,NA,NA,NA,1,2,5,2,6,5,5,6,2,"城镇治疗",5,1,4,NA,NA,NA,5,5,7,7
"54",120046103,NA,0,"Dispatch",21000,5,NA,250,500,5,5,5,78,1,5,8,8,2,"城镇居民",1,1,5,NA,7,NA,5,5,2,2
"55",120051103,NA,0,"Contract",36000,5,NA,200,NA,5,4,4,78,5,10,10,10,2,"城镇居民",1,1,5,1,5,NA,5,NA,2,2
"56",120056103,NA,1,"Contract",50000,1,230,300,100,5,4,4,78,0,7,9,7,2,"城镇治疗",1,1,5,1,7,NA,5,5,2,7
"57",120056551,NA,0,"Contract",84000,1,1000,2000,NA,1,5,4,2,7,6,6,6,2,"城镇治疗",1,1,5,1,7,NA,5,5,4,4
"58",120058102,NA,1,"Dispatch",42000,5,NA,NA,NA,5,4,4,78,4,6,10,10,2,"城镇治疗",5,5,4,NA,NA,NA,NA,5,7,NA
"59",120063101,NA,1,"Contract",102000,1,1260,1500,1000,1,4,4,2,6,10,7,7,2,"城镇治疗",1,1,4,2,7,NA,5,NA,1,5
"60",120063102,NA,0,"Contract",1e+05,1,1260,1500,NA,5,5,4,2,5,5,8,4,2,"城镇治疗",1,1,4,2,7,NA,5,5,0,7
"61",120071101,NA,0,"Contract",35000,1,1,515,NA,5,3,4,78,5,10,10,10,2,"城镇治疗",5,5,4,NA,5,NA,NA,5,0,NA
"62",120078104,NA,0,"Contract",36000,5,NA,NA,500,5,4,4,78,2,10,8,8,2,"新型农村",1,5,5,7,4,NA,5,5,0,7
"63",120080103,NA,0,"Contract",82800,1,2500,NA,NA,5,4,4,78,5,7,6,5,1,"城镇治疗",1,1,5,1,7,NA,5,5,1,7
"64",120089102,NA,1,"Contract",60000,5,NA,NA,NA,5,5,4,79,6,10,8,5,2,"新型农村",5,1,3,7,NA,NA,5,NA,0,7
"65",120094103,NA,0,"Dispatch",36000,5,NA,350,NA,5,4,2,79,3,5,6,6,2,"城镇治疗",1,5,4,1,5,NA,5,5,0,1
"66",120095101,NA,1,"Contract",50000,5,NA,400,NA,5,4,4,2,10,10,8,6,4,"城镇治疗",1,5,1,7,5,NA,5,5,0,7
"67",120097101,NA,1,"Contract",72000,1,850,950,1000,5,3,4,78,4,8,8,6,2,"城镇治疗",1,1,4,1,6,NA,5,5,1,3
"68",120100102,NA,0,"Contract",NA,NA,NA,NA,NA,5,3,4,78,8,5,7,7,2,"新型农村",5,5,3,NA,NA,NA,NA,5,2,NA
"69",120100104,NA,0,"Dispatch",12800,1,220,600,NA,5,4,4,78,3,1,6,2,2,"城镇治疗",1,5,3,1,6,NA,5,5,3,4
"70",120102103,NA,1,"Dispatch",60000,1,210,250,NA,1,3,2,78,0,10,10,10,2,"新型农村",1,1,5,7,4,NA,5,5,0,7
"71",120111102,NA,1,"Contract",1e+05,1,NA,NA,NA,5,5,5,78,5,8,8,10,2,"城镇治疗",1,1,5,1,6,NA,5,5,3,7
"72",120113101,NA,1,"Contract",NA,NA,NA,NA,NA,5,4,4,2,5,5,6,6,2,"城镇治疗",1,1,5,NA,NA,NA,5,5,2,7
"73",120129103,NA,0,"Contract",80000,5,NA,800,600,5,4,2,78,6,6,6,7,1,"城镇治疗",1,1,5,1,7,NA,5,5,5,6
"74",120131101,NA,0,"Contract",40000,1,710,NA,NA,1,4,4,79,1,10,6,5,2,"城镇治疗",1,5,4,1,NA,NA,5,5,3,5
"75",121095551,NA,1,"Contract",31200,1,260,270,NA,1,2,4,78,6,5,6,8,2,"城镇治疗",1,1,4,1,6,NA,5,5,0,5
"76",121265551,NA,1,"Contract",2650,5,NA,300,NA,5,3,4,78,6,7,9,5,2,"城镇居民",1,1,5,1,7,NA,1,5,0,7
"77",123731551,NA,1,"Contract",80000,5,NA,280,NA,5,4,4,78,5,10,5,7,2,"城镇治疗",1,1,5,1,6,NA,5,5,1,7
"78",124079501,NA,1,"Contract",42000,5,NA,NA,NA,5,4,4,79,5,10,10,8,2,"城镇治疗",1,1,5,1,6,NA,5,5,0,0
"79",125984553,NA,1,"Contract",44000,5,NA,NA,NA,5,4,4,78,0,10,7,8,2,"新型农村",1,5,2,4,4,NA,5,5,0,7
"80",128367502,NA,1,"Contract",50000,NA,NA,NA,NA,5,4,5,NA,0,9,7,7,2,"一无所有",1,1,5,3,4,NA,5,5,0,0
"81",128969501,NA,1,"Dispatch",8000,5,NA,NA,NA,5,2,2,79,5,10,10,10,2,"新型农村",1,1,4,7,4,NA,5,5,0,1
"82",130005103,NA,1,"Dispatch",120000,5,NA,300,2000,5,3,3,78,1,3,5,3,4,"城镇治疗",1,5,5,5,3,NA,5,5,0,2
"83",130012103,NA,1,"Contract",45000,1,700,NA,1000,5,3,2,79,0,10,7,6,2,"城镇治疗",1,1,4,7,5,NA,5,5,0,0
"84",130030103,NA,1,"Dispatch",18200,NA,NA,NA,NA,5,3,3,NA,5,5,9,7,2,"新型农村",1,5,3,4,5,NA,5,5,1,3
"85",130030502,NA,0,"Contract",31200,1,NA,NA,NA,5,4,4,3,4,8,8,8,2,"城镇治疗",1,1,5,1,7,NA,5,5,1,7
"86",130037106,NA,1,"Contract",NA,NA,NA,NA,NA,5,2,2,78,5,NA,10,7,1,"新型农村",1,1,5,NA,4,NA,5,5,0,2
"87",130040551,NA,0,"Contract",30000,1,NA,NA,NA,5,4,4,78,1,10,10,10,2,"新型农村",1,5,3,NA,4,NA,5,5,0,7
"88",130046103,NA,0,"Dispatch",25080,5,NA,NA,NA,5,4,4,78,7,5,9,8,2,"城镇治疗",1,5,5,1,4,NA,5,5,0,7
"89",130046104,NA,0,"Dispatch",NA,NA,NA,NA,NA,5,4,4,79,7,5,7,5,2,"新型农村",1,5,4,NA,4,NA,5,5,0,0
"90",130051102,NA,1,"Dispatch",58000,1,NA,NA,NA,1,4,4,2,3,4,5,2,2,"城镇治疗",1,1,5,1,7,1,5,5,0,3
"91",130056104,NA,1,"Contract",45000,1,NA,NA,NA,5,4,4,79,3,2,8,4,5,"城镇治疗",1,1,4,3,4,NA,5,5,0,2
"92",130059103,NA,1,"Contract",35000,5,NA,NA,NA,5,4,4,79,7,10,8,3,1,"新型农村",1,5,5,5,5,NA,5,5,0,2
"93",130060102,NA,0,"Contract",14800,5,NA,260,NA,5,3,3,79,2,5,5,5,2,"新型农村",5,5,1,NA,NA,NA,NA,5,0,NA
"94",130062102,NA,1,"Contract",32000,5,NA,NA,500,5,3,3,79,0,10,10,5,2,"新型农村",1,5,5,7,3,NA,5,5,0,7
"95",130071432,NA,1,"Contract",30000,1,NA,150,500,5,4,4,79,10,10,8,10,2,"新型农村",1,5,1,7,3,NA,5,5,2,2
"96",130086101,NA,1,"Contract",35000,5,NA,NA,NA,5,3,3,78,5,6,10,5,2,"新型农村",1,5,5,3,NA,NA,5,5,3,5
"97",130088104,NA,1,"Contract",36000,5,NA,300,NA,5,4,4,78,5,7,8,8,2,"公费治疗",1,5,5,7,5,NA,5,5,2,4
"98",130092104,NA,1,"Contract",40000,5,NA,300,NA,5,2,4,78,8,7,7,9,1,"城镇治疗",1,1,3,4,7,77,5,5,0,7
"99",130093102,NA,1,"Contract",30000,5,NA,NA,NA,5,4,4,78,10,0,0,0,2,"新型农村",5,5,1,NA,NA,NA,NA,5,7,NA
"100",130096103,NA,1,"Contract",84000,1,2100,2100,NA,5,4,4,78,7,6,4,5,1,"城镇治疗",1,1,5,1,7,NA,5,NA,0,0
"101",130099101,NA,1,"Dispatch",50000,5,NA,NA,NA,5,4,4,79,8,5,8,10,2,"新型农村",1,5,1,7,5,NA,5,5,2,0
"102",130115101,NA,0,"Contract",66000,1,500,70,NA,1,4,4,78,5,7,7,5,2,"城镇治疗",1,1,4,3,NA,NA,5,5,2,7
"103",130115102,NA,1,"Contract",66000,1,600,300,NA,1,4,4,78,3,7,7,7,2,"城镇治疗",1,1,5,3,NA,NA,5,5,2,5
"104",130121103,NA,0,"Contract",80000,1,NA,NA,1000,1,4,4,2,7,6,5,4,2,"城镇治疗",1,1,5,1,7,NA,5,5,0,0
"105",130131101,NA,1,"Contract",96000,1,1000,NA,NA,5,4,4,78,5,6,8,7,2,"一无所有",1,1,4,1,NA,NA,5,NA,7,7
"106",130133102,NA,0,"Contract",30000,5,NA,833,250,5,4,4,78,6,6,7,7,2,"城镇治疗",1,1,5,1,7,NA,5,5,5,2
"107",130140101,NA,0,"Contract",40000,1,290,NA,NA,5,4,4,78,5,7,8,6,2,"城镇治疗",1,1,5,1,6,NA,5,5,7,7
"108",130140102,NA,1,"Contract",58000,1,200,500,NA,5,4,5,78,5,10,10,5,2,"城镇治疗",1,5,3,3,7,NA,5,NA,2,7
"109",130152103,NA,1,"Contract",50000,1,NA,NA,NA,5,4,4,78,8,8,5,6,1,"城镇治疗",1,1,5,1,6,4,5,NA,0,7
"110",130153103,NA,1,"Contract",42000,1,400,300,500,5,4,4,78,3,6,8,5,2,"城镇治疗",1,1,4,1,6,4,5,1,3,5
"111",130153601,NA,0,"Contract",17200,1,300,350,300,5,5,5,78,8,8,6,5,2,"新型农村",1,1,5,1,6,NA,5,5,3,5
"112",130167104,NA,1,"Dispatch",45000,1,600,500,NA,1,2,2,78,5,7,5,7,2,"城镇治疗",1,1,5,3,5,1,5,5,3,5
"113",130175102,NA,1,"Contract",36000,5,NA,NA,500,5,4,4,78,1,7,8,6,2,"城镇治疗",1,5,4,3,5,NA,5,NA,0,3
"114",130175103,NA,0,"Contract",30000,5,NA,228,NA,5,4,4,78,5,5,8,7,2,"城镇治疗",1,1,5,1,4,NA,5,5,0,1
"115",130175551,NA,1,"Dispatch",8100,5,NA,1300,NA,5,4,4,78,10,8,5,5,2,"城镇居民",5,1,5,1,5,NA,5,5,2,2
"116",130189101,NA,0,"Contract",40000,1,300,600,NA,5,4,4,78,8,6,7,10,2,"城镇治疗",1,5,3,2,6,NA,5,5,7,3
"117",130189102,NA,1,"Contract",60000,1,300,600,NA,5,4,4,78,7,10,8,7,2,"城镇治疗",1,1,3,2,NA,NA,5,5,3,5
"118",130193103,NA,1,"Contract",40000,5,NA,NA,NA,5,2,4,78,1,10,8,10,1,"城镇居民",1,5,4,7,5,NA,5,5,3,5
"119",130195431,NA,0,"Contract",23000,1,200,NA,NA,5,2,4,79,10,3,8,5,4,"城镇治疗",1,1,5,1,5,NA,5,1,0,7
"120",130197101,NA,0,"Contract",30000,5,NA,320,200,5,4,4,78,8,5,6,7,2,"城镇治疗",1,1,5,1,NA,NA,5,5,2,0
"121",130197102,NA,1,"Contract",38400,5,NA,300,NA,5,2,4,3,7,10,7,8,2,"城镇治疗",1,5,5,7,NA,NA,5,NA,4,2
"122",130197103,NA,1,"Contract",2000,1,100,320,NA,5,3,4,78,2,10,1,1,1,"城镇治疗",1,1,5,3,6,77,5,5,6,7
"123",130199101,NA,0,"Contract",NA,NA,NA,NA,NA,1,4,4,78,2,3,3,4,2,"城镇治疗",5,5,1,NA,NA,NA,NA,5,6,NA
"124",130199103,NA,0,"Dispatch",50000,1,400,500,NA,1,4,4,78,10,3,5,8,2,"城镇治疗",1,1,5,5,6,NA,5,NA,1,5
"125",130199104,NA,1,"Contract",70000,5,NA,500,NA,5,2,4,78,5,9,6,8,2,"城镇治疗",1,1,5,1,6,NA,5,NA,7,7
"126",130207102,NA,1,"Contract",57600,1,NA,NA,1000,1,5,4,78,7,6,9,7,2,"城镇治疗",1,1,5,7,7,NA,5,1,2,7
"127",130207108,NA,0,"Contract",60000,5,NA,261,200,5,4,4,1,8,5,5,7,2,"新型农村",1,5,3,7,4,NA,5,5,0,4
"128",130218431,NA,0,"Dispatch",25000,5,NA,837,NA,1,3,2,78,5,5,5,10,2,"城镇治疗",1,5,5,7,6,NA,5,5,7,7
"129",130220101,NA,1,"Contract",NA,NA,NA,NA,NA,1,3,3,78,5,5,5,7,2,"新型农村",5,5,1,NA,NA,NA,NA,5,7,NA
"130",130220104,NA,1,"Contract",45000,1,400,500,NA,5,4,4,78,4,7,3,8,2,"城镇治疗",1,1,4,1,7,NA,5,5,3,6
"131",130223103,NA,1,"Contract",50000,5,NA,0,NA,5,4,4,79,7,9,7,8,2,"新型农村",1,5,3,4,NA,NA,5,5,7,3
"132",130223104,NA,1,"Contract",6000,1,300,600,NA,1,5,5,78,6,5,7,5,1,"城镇治疗",1,1,4,1,7,NA,5,5,3,3
"133",130227103,NA,1,"Contract",18000,1,300,500,NA,5,2,4,79,4,9,7,8,2,"城镇治疗",1,5,4,2,NA,NA,5,NA,7,2
"134",130231101,NA,0,"Contract",22200,5,NA,NA,NA,5,3,5,79,4,6,5,4,2,"新型农村",5,5,3,NA,NA,NA,NA,5,7,NA
"135",130231102,NA,1,"Contract",36000,5,NA,NA,NA,5,4,4,78,5,6,6,6,2,"城镇治疗",1,1,5,1,6,NA,5,5,4,7
"136",130235101,NA,1,"Contract",120000,1,400,2000,500,1,4,4,78,6,5,7,8,2,"城镇治疗",1,1,5,1,8,NA,5,NA,1,5
"137",130235102,NA,1,"Contract",NA,NA,NA,NA,NA,1,4,3,79,5,6,6,8,2,"城镇治疗",5,5,1,NA,NA,NA,NA,NA,1,NA
"138",130235431,NA,0,"Contract",1e+05,1,500,1000,5000,1,4,5,78,6,5,6,4,2,"城镇治疗",1,1,5,3,8,NA,5,1,2,5
"139",130254102,NA,1,"Contract",60000,1,700,NA,NA,1,4,4,78,5,8,8,8,2,"公费治疗",1,5,3,7,NA,NA,5,NA,7,7
"140",130254103,NA,0,"Contract",60000,5,NA,800,NA,1,4,4,78,4,9,8,9,2,"城镇治疗",1,1,4,2,7,NA,5,1,2,3
"141",130255103,NA,0,"Contract",56200,5,NA,NA,NA,1,3,4,78,5,8,10,10,2,"城镇治疗",1,1,5,1,7,NA,5,5,7,7
"142",130268103,NA,0,"Contract",140000,1,1500,NA,NA,5,4,4,78,6,8,8,8,2,"城镇治疗",1,1,5,1,8,NA,5,5,3,3
"143",130281103,NA,1,"Dispatch",60000,5,NA,300,2000,5,4,4,2,5,7,5,7,2,"城镇治疗",1,1,4,1,7,77,5,5,1,7
"144",130281104,NA,0,"Contract",1e+05,5,NA,NA,NA,5,4,4,78,1,9,8,9,2,"城镇治疗",1,1,4,NA,7,NA,1,NA,0,2
"145",130295102,NA,1,"Contract",40000,1,120,458,NA,1,2,4,78,6,9,7,6,2,"公费治疗",1,5,4,2,5,NA,5,5,5,5
"146",130297101,NA,0,"Dispatch",48400,1,400,200,NA,5,3,4,78,3,5,6,6,2,"城镇治疗",1,1,5,1,7,NA,5,5,7,7
"147",130311106,NA,0,"Dispatch",29200,1,940,NA,NA,5,4,4,78,6,10,10,10,2,"新型农村",1,1,5,1,7,NA,5,5,3,0
"148",130312104,NA,1,"Contract",50000,1,240,700,NA,5,4,2,2,3,10,10,8,2,"城镇治疗",1,1,5,1,7,NA,5,5,7,7
"149",130312551,NA,0,"Contract",30000,1,300,300,1500,5,4,4,78,6,5,5,6,2,"一无所有",1,1,3,NA,7,NA,5,5,2,2
"150",130315103,NA,1,"Dispatch",36000,5,NA,150,NA,5,3,3,78,5,5,10,5,2,"新型农村",5,5,3,NA,4,NA,NA,5,0,NA
"151",130319104,NA,1,"Dispatch",25000,5,NA,NA,NA,5,4,4,78,7,3,7,7,2,"城镇治疗",1,1,5,1,8,NA,5,5,3,7
"152",130319553,NA,0,"Contract",50000,1,400,800,NA,1,5,5,78,7,5,5,8,2,"城镇治疗",1,1,5,1,7,NA,5,NA,0,7
"153",130324105,NA,0,"Contract",13200,1,100,500,NA,5,1,4,78,5,5,8,5,2,"城镇治疗",1,1,5,1,6,NA,5,5,0,0
"154",130325103,NA,1,"Contract",75000,1,400,800,1000,5,2,2,1,3,10,8,8,2,"城镇治疗",1,1,5,1,7,4,5,5,0,3
"155",130325104,NA,1,"Contract",5000,1,248,496,NA,5,4,4,78,5,8,7,10,1,"公费治疗",1,1,3,NA,8,77,5,5,2,1
"156",130368431,NA,1,"Contract",3e+05,1,500,2000,NA,5,4,4,78,7,7,7,7,2,"城镇治疗",1,1,5,1,7,NA,1,5,2,7
"157",130381105,NA,1,"Contract",50000,5,NA,200,NA,5,2,2,78,3,10,10,10,2,"新型农村",1,5,5,7,4,NA,5,NA,0,7
"158",130382102,NA,1,"Contract",44000,5,NA,10,400,1,4,4,78,3,10,10,5,2,"城镇治疗",1,5,1,1,NA,NA,5,5,0,7
"159",130385101,NA,1,"Contract",22000,5,NA,NA,NA,5,3,4,79,4,10,10,10,1,"一无所有",1,5,5,1,3,NA,5,5,0,7
"160",130391105,NA,1,"Contract",40000,5,NA,600,NA,5,3,3,2,0,10,10,10,2,"新型农村",1,1,5,1,4,NA,5,5,7,7
"161",130396101,NA,1,"Contract",36000,1,0,0,NA,5,4,4,78,6,8,6,6,2,"新型农村",1,5,3,7,NA,NA,5,5,0,0
"162",130396104,NA,1,"Contract",24000,1,300,500,NA,5,5,4,79,6,5,4,10,2,"新型农村",1,5,5,1,3,NA,5,5,0,3
"163",130396601,NA,0,"Contract",3000,1,NA,NA,NA,5,4,5,78,8,6,10,10,2,"城镇居民",1,1,5,1,6,NA,5,5,1,7
"164",130399104,NA,0,"Dispatch",24000,5,NA,300,NA,5,4,4,78,10,5,10,9,2,"城镇治疗",1,1,3,7,4,NA,5,5,0,0
"165",130411103,NA,1,"Dispatch",54400,1,209,183,600,5,3,3,78,9,5,9,1,2,"城镇居民",1,5,5,7,5,NA,5,5,0,2
"166",130432103,NA,1,"Contract",85000,1,600,800,NA,5,4,4,78,8,5,6,6,2,"城镇治疗",1,1,5,1,6,NA,5,5,7,2
"167",130432105,NA,0,"Contract",90000,1,1049,1049,700,5,4,4,78,5,6,8,8,2,"城镇治疗",1,1,5,1,6,NA,5,5,0,7
"168",130457104,NA,1,"Dispatch",50000,5,NA,700,7000,1,2,3,78,3,9,9,9,2,"城镇治疗",1,5,4,2,5,NA,5,5,0,6
"169",130458104,NA,1,"Contract",40000,1,460,NA,NA,5,3,3,78,6,10,8,10,1,"一无所有",1,5,5,7,4,NA,5,5,7,7
"170",130464103,NA,0,"Dispatch",96000,5,NA,360,NA,5,4,5,78,8,10,10,10,2,"一无所有",1,1,5,1,6,NA,5,5,2,7
"171",130475104,NA,1,"Contract",70000,1,1200,NA,NA,1,4,4,78,8,2,5,2,2,"城镇治疗",1,5,5,1,8,4,5,NA,0,7
"172",130475105,NA,0,"Dispatch",20000,1,260,400,1000,5,3,3,78,6,3,6,6,2,"城镇治疗",5,5,3,NA,5,NA,NA,5,3,NA
"173",130477103,NA,0,"Contract",42000,5,NA,200,150,5,2,2,78,8,8,10,8,2,"公费治疗",1,1,5,1,6,NA,1,5,0,0
"174",130482103,NA,0,"Contract",36000,1,360,600,NA,1,4,4,78,2,9,8,5,2,"城镇治疗",1,1,5,6,5,NA,5,5,5,7
"175",130482104,NA,1,"Contract",50000,1,140,700,NA,1,4,4,78,7,5,8,8,1,"城镇治疗",1,1,5,1,6,77,5,1,1,7
"176",130487103,NA,1,"Dispatch",55000,1,160,600,2500,5,4,4,2,7,6,7,7,1,"新型农村",1,1,4,1,7,1,5,NA,1,6
"177",130488103,NA,1,"Contract",7000,5,NA,NA,NA,5,4,4,78,1,5,10,10,1,"新型农村",1,5,5,7,4,NA,5,5,0,0
