"","pid","age","gender","dispatch","qg12","qg10","qg1001","qg901","qg702","qn4003","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qea0","qp605","qu201","qu202","qu802","qu702","w01","kwa2_b_1","qn203","qn4001","qn201_b_1","qn202","qp605"
"17",110026101,41,0,"Contract",160000,5,NA,350,NA,5,4,4,78,8,8,6,8,2,"城镇治疗",1,1,5,1,6,NA,5,5,2,4,"城镇治疗"
"18",110026102,45,1,"Contract",2e+05,5,NA,2000,NA,5,4,4,78,6,6,5,7,2,"城镇治疗",1,1,5,1,NA,NA,5,5,5,7,"城镇治疗"
"19",110043101,58,1,"Contract",35000,1,350,300,NA,1,4,4,79,5,10,10,10,2,"城镇治疗",5,5,1,NA,NA,NA,NA,5,2,NA,"城镇治疗"
"20",110043102,45,0,"Dispatch",24000,5,NA,360,NA,5,4,4,79,1,8,8,8,2,"城镇治疗",1,5,5,1,NA,NA,5,5,0,7,"城镇治疗"
"21",110043107,24,1,"Contract",70000,1,850,830,NA,1,4,4,78,5,8,0,8,1,"城镇治疗",1,1,5,7,6,NA,5,5,1,3,"城镇治疗"
"22",110050103,38,1,"Contract",48000,1,500,800,NA,5,3,3,78,0,4,5,5,2,"城镇居民",5,5,3,NA,5,NA,NA,5,0,NA,"城镇居民"
"23",110051104,32,0,"Contract",40000,1,200,300,NA,1,3,4,78,5,10,8,6,2,"城镇治疗",1,1,5,1,5,NA,5,5,2,7,"城镇治疗"
"24",110060102,68,0,"Contract",6000,5,NA,NA,NA,5,3,4,78,2,8,3,5,2,"城镇治疗",1,5,5,NA,NA,NA,5,5,3,3,"城镇治疗"
"25",110060103,38,0,"Dispatch",80000,1,700,700,3000,5,4,4,78,3,10,10,10,2,"城镇治疗",1,5,5,1,6,NA,5,5,1,1,"城镇治疗"
"26",110062531,31,0,"Contract",26800,1,342,347,NA,5,4,4,78,2,10,8,10,2,"公费治疗",1,5,5,1,5,NA,1,5,0,1,"公费治疗"
"27",110064101,38,1,"Contract",150000,1,NA,NA,10000,1,4,5,79,5,4,6,8,4,"城镇治疗",1,1,5,1,6,NA,5,5,0,7,"城镇治疗"
"28",110067101,32,0,"Contract",220000,1,2500,2100,NA,5,1,1,78,2,9,9,10,1,"城镇治疗",1,1,5,NA,7,NA,5,5,0,7,"城镇治疗"
"29",110069103,39,1,"Contract",53800,1,460,1000,NA,1,4,4,78,NA,NA,8,7,1,"城镇治疗",1,1,3,1,7,NA,5,5,7,0,"城镇治疗"
"30",110078101,49,1,"Contract",60000,5,NA,350,NA,1,4,4,79,1,10,10,8,2,"城镇治疗",1,5,4,1,NA,NA,5,NA,7,7,"城镇治疗"
"31",110078104,44,0,"Contract",36000,1,260,350,1200,1,4,4,78,5,10,10,7,2,"城镇治疗",1,5,3,1,6,NA,5,5,7,2,"城镇治疗"
"32",110111103,37,0,"Contract",NA,NA,NA,NA,NA,1,4,4,78,3,8,8,1,2,"城镇治疗",1,1,5,1,6,NA,5,5,0,0,"城镇治疗"
"33",110114103,22,0,"Contract",60000,5,NA,1200,NA,5,4,4,2,3,4,10,10,1,"城镇居民",1,1,5,1,6,NA,5,5,7,0,"城镇居民"
"34",110124101,38,1,"Contract",120000,1,1000,1200,1500,5,5,5,78,8,10,5,5,2,"城镇居民",1,1,5,1,7,NA,5,5,2,7,"城镇居民"
"35",110124102,34,0,"Contract",70000,1,800,250,NA,5,4,5,78,1,10,5,5,2,"一无所有",1,1,5,1,7,NA,5,5,0,7,"一无所有"
"36",110165102,48,1,"Contract",120000,5,NA,2020,NA,5,4,4,78,5,10,8,10,2,"城镇治疗",1,1,3,4,NA,NA,5,5,2,7,"城镇治疗"
"37",110754501,27,1,"Contract",45000,1,NA,300,2000,5,4,4,78,8,4,5,5,2,"城镇治疗",1,1,4,4,4,NA,5,5,0,7,"城镇治疗"
"38",111065501,28,1,"Contract",45000,5,NA,200,NA,5,2,3,78,3,10,10,10,2,"城镇居民",1,1,5,1,6,NA,5,5,1,7,"城镇居民"
"39",111230551,28,1,"Contract",60000,5,NA,NA,NA,5,5,4,78,5,8,5,8,2,"新型农村",1,5,5,7,5,NA,5,5,NA,0,"新型农村"
"40",115986501,28,1,"Contract",35000,1,390,400,500,1,2,3,78,5,7,7,6,2,"新型农村",1,1,4,7,5,NA,5,5,2,3,"新型农村"
"41",120007101,38,1,"Contract",50400,1,700,850,NA,1,2,2,78,0,10,10,10,2,"城镇治疗",1,1,4,1,7,NA,1,NA,0,7,"城镇治疗"
"42",120008101,54,1,"Contract",50000,1,1100,1500,2000,1,4,4,78,4,9,6,6,2,"公费治疗",1,1,3,1,NA,NA,5,NA,7,7,"公费治疗"
"43",120008103,30,0,"Contract",1e+05,1,1700,2000,30000,5,3,4,78,5,6,6,5,2,NA,1,1,5,1,7,NA,5,NA,0,2,NA
"44",120009102,27,0,"Dispatch",70000,1,246,400,NA,5,3,3,78,6,8,7,10,2,"城镇治疗",1,1,5,2,7,NA,5,5,0,3,"城镇治疗"
"45",120013101,41,0,"Dispatch",80000,1,2000,3000,NA,1,4,4,78,5,6,8,8,2,"城镇治疗",1,1,4,1,8,NA,5,NA,0,5,"城镇治疗"
"46",120020101,54,0,"Contract",13800,5,NA,NA,NA,1,4,4,78,6,5,5,5,2,"公费治疗",1,1,5,NA,NA,NA,5,5,7,7,"公费治疗"
"47",120026101,46,0,"Contract",74000,1,1300,2800,NA,1,3,3,78,4,6,7,6,2,"城镇治疗",1,1,5,1,NA,NA,5,5,3,3,"城镇治疗"
"48",120026102,46,1,"Contract",34200,1,420,800,NA,1,3,3,78,5,5,6,5,2,"城镇治疗",1,1,3,5,NA,NA,5,5,7,2,"城镇治疗"
"49",120029102,38,1,"Contract",NA,NA,NA,NA,NA,5,2,3,78,4,5,5,3,2,"新型农村",1,1,5,NA,5,NA,5,5,1,7,"新型农村"
"50",120031103,29,0,"Contract",50000,1,500,700,NA,1,4,4,78,3,10,9,9,2,"城镇治疗",1,1,5,1,7,NA,5,NA,7,3,"城镇治疗"
"51",120034103,30,0,"Contract",43000,5,NA,NA,500,5,3,3,78,8,5,8,8,2,"一无所有",1,5,5,1,7,NA,5,NA,0,0,"一无所有"
"52",120039101,35,0,"Dispatch",25000,1,300,300,2000,1,3,4,2,4,8,7,6,2,"城镇治疗",1,5,4,3,6,NA,5,5,0,2,"城镇治疗"
"53",120046102,62,1,"Contract",NA,NA,NA,NA,NA,1,2,5,2,6,5,5,6,2,"城镇治疗",5,1,4,NA,NA,NA,5,5,7,7,"城镇治疗"
"54",120046103,28,0,"Dispatch",21000,5,NA,250,500,5,5,5,78,1,5,8,8,2,"城镇居民",1,1,5,NA,7,NA,5,5,2,2,"城镇居民"
"55",120051103,23,0,"Contract",36000,5,NA,200,NA,5,4,4,78,5,10,10,10,2,"城镇居民",1,1,5,1,5,NA,5,NA,2,2,"城镇居民"
"56",120056103,27,1,"Contract",50000,1,230,300,100,5,4,4,78,0,7,9,7,2,"城镇治疗",1,1,5,1,7,NA,5,5,2,7,"城镇治疗"
"57",120056551,27,0,"Contract",84000,1,1000,2000,NA,1,5,4,2,7,6,6,6,2,"城镇治疗",1,1,5,1,7,NA,5,5,4,4,"城镇治疗"
"58",120058102,56,1,"Dispatch",42000,5,NA,NA,NA,5,4,4,78,4,6,10,10,2,"城镇治疗",5,5,4,NA,NA,NA,NA,5,7,NA,"城镇治疗"
"59",120063101,38,1,"Contract",102000,1,1260,1500,1000,1,4,4,2,6,10,7,7,2,"城镇治疗",1,1,4,2,7,NA,5,NA,1,5,"城镇治疗"
"60",120063102,40,0,"Contract",1e+05,1,1260,1500,NA,5,5,4,2,5,5,8,4,2,"城镇治疗",1,1,4,2,7,NA,5,5,0,7,"城镇治疗"
"61",120071101,43,0,"Contract",35000,1,1,515,NA,5,3,4,78,5,10,10,10,2,"城镇治疗",5,5,4,NA,5,NA,NA,5,0,NA,"城镇治疗"
"62",120078104,36,0,"Contract",36000,5,NA,NA,500,5,4,4,78,2,10,8,8,2,"新型农村",1,5,5,7,4,NA,5,5,0,7,"新型农村"
"63",120080103,31,0,"Contract",82800,1,2500,NA,NA,5,4,4,78,5,7,6,5,1,"城镇治疗",1,1,5,1,7,NA,5,5,1,7,"城镇治疗"
"64",120089102,62,1,"Contract",60000,5,NA,NA,NA,5,5,4,79,6,10,8,5,2,"新型农村",5,1,3,7,NA,NA,5,NA,0,7,"新型农村"
"65",120094103,24,0,"Dispatch",36000,5,NA,350,NA,5,4,2,79,3,5,6,6,2,"城镇治疗",1,5,4,1,5,NA,5,5,0,1,"城镇治疗"
"66",120095101,40,1,"Contract",50000,5,NA,400,NA,5,4,4,2,10,10,8,6,4,"城镇治疗",1,5,1,7,5,NA,5,5,0,7,"城镇治疗"
"67",120097101,30,1,"Contract",72000,1,850,950,1000,5,3,4,78,4,8,8,6,2,"城镇治疗",1,1,4,1,6,NA,5,5,1,3,"城镇治疗"
"68",120100102,54,0,"Contract",NA,NA,NA,NA,NA,5,3,4,78,8,5,7,7,2,"新型农村",5,5,3,NA,NA,NA,NA,5,2,NA,"新型农村"
"69",120100104,28,0,"Dispatch",12800,1,220,600,NA,5,4,4,78,3,1,6,2,2,"城镇治疗",1,5,3,1,6,NA,5,5,3,4,"城镇治疗"
"70",120102103,31,1,"Dispatch",60000,1,210,250,NA,1,3,2,78,0,10,10,10,2,"新型农村",1,1,5,7,4,NA,5,5,0,7,"新型农村"
"71",120111102,33,1,"Contract",1e+05,1,NA,NA,NA,5,5,5,78,5,8,8,10,2,"城镇治疗",1,1,5,1,6,NA,5,5,3,7,"城镇治疗"
"72",120113101,63,1,"Contract",NA,NA,NA,NA,NA,5,4,4,2,5,5,6,6,2,"城镇治疗",1,1,5,NA,NA,NA,5,5,2,7,"城镇治疗"
"73",120129103,25,0,"Contract",80000,5,NA,800,600,5,4,2,78,6,6,6,7,1,"城镇治疗",1,1,5,1,7,NA,5,5,5,6,"城镇治疗"
"74",120131101,46,0,"Contract",40000,1,710,NA,NA,1,4,4,79,1,10,6,5,2,"城镇治疗",1,5,4,1,NA,NA,5,5,3,5,"城镇治疗"
"75",121095551,28,1,"Contract",31200,1,260,270,NA,1,2,4,78,6,5,6,8,2,"城镇治疗",1,1,4,1,6,NA,5,5,0,5,"城镇治疗"
"76",121265551,32,1,"Contract",2650,5,NA,300,NA,5,3,4,78,6,7,9,5,2,"城镇居民",1,1,5,1,7,NA,1,5,0,7,"城镇居民"
"77",123731551,25,1,"Contract",80000,5,NA,280,NA,5,4,4,78,5,10,5,7,2,"城镇治疗",1,1,5,1,6,NA,5,5,1,7,"城镇治疗"
"78",124079501,31,1,"Contract",42000,5,NA,NA,NA,5,4,4,79,5,10,10,8,2,"城镇治疗",1,1,5,1,6,NA,5,5,0,0,"城镇治疗"
"79",125984553,29,1,"Contract",44000,5,NA,NA,NA,5,4,4,78,0,10,7,8,2,"新型农村",1,5,2,4,4,NA,5,5,0,7,"新型农村"
"80",128367502,31,1,"Contract",50000,NA,NA,NA,NA,5,4,5,NA,0,9,7,7,2,"一无所有",1,1,5,3,4,NA,5,5,0,0,"一无所有"
"81",128969501,27,1,"Dispatch",8000,5,NA,NA,NA,5,2,2,79,5,10,10,10,2,"新型农村",1,1,4,7,4,NA,5,5,0,1,"新型农村"
"82",130005103,40,1,"Dispatch",120000,5,NA,300,2000,5,3,3,78,1,3,5,3,4,"城镇治疗",1,5,5,5,3,NA,5,5,0,2,"城镇治疗"
"83",130012103,29,1,"Contract",45000,1,700,NA,1000,5,3,2,79,0,10,7,6,2,"城镇治疗",1,1,4,7,5,NA,5,5,0,0,"城镇治疗"
"84",130030103,27,1,"Dispatch",18200,NA,NA,NA,NA,5,3,3,NA,5,5,9,7,2,"新型农村",1,5,3,4,5,NA,5,5,1,3,"新型农村"
"85",130030502,29,0,"Contract",31200,1,NA,NA,NA,5,4,4,3,4,8,8,8,2,"城镇治疗",1,1,5,1,7,NA,5,5,1,7,"城镇治疗"
"86",130037106,22,1,"Contract",NA,NA,NA,NA,NA,5,2,2,78,5,NA,10,7,1,"新型农村",1,1,5,NA,4,NA,5,5,0,2,"新型农村"
"87",130040551,25,0,"Contract",30000,1,NA,NA,NA,5,4,4,78,1,10,10,10,2,"新型农村",1,5,3,NA,4,NA,5,5,0,7,"新型农村"
"88",130046103,37,0,"Dispatch",25080,5,NA,NA,NA,5,4,4,78,7,5,9,8,2,"城镇治疗",1,5,5,1,4,NA,5,5,0,7,"城镇治疗"
"89",130046104,27,0,"Dispatch",NA,NA,NA,NA,NA,5,4,4,79,7,5,7,5,2,"新型农村",1,5,4,NA,4,NA,5,5,0,0,"新型农村"
"90",130051102,41,1,"Dispatch",58000,1,NA,NA,NA,1,4,4,2,3,4,5,2,2,"城镇治疗",1,1,5,1,7,1,5,5,0,3,"城镇治疗"
"91",130056104,31,1,"Contract",45000,1,NA,NA,NA,5,4,4,79,3,2,8,4,5,"城镇治疗",1,1,4,3,4,NA,5,5,0,2,"城镇治疗"
"92",130059103,20,1,"Contract",35000,5,NA,NA,NA,5,4,4,79,7,10,8,3,1,"新型农村",1,5,5,5,5,NA,5,5,0,2,"新型农村"
"93",130060102,45,0,"Contract",14800,5,NA,260,NA,5,3,3,79,2,5,5,5,2,"新型农村",5,5,1,NA,NA,NA,NA,5,0,NA,"新型农村"
"94",130062102,43,1,"Contract",32000,5,NA,NA,500,5,3,3,79,0,10,10,5,2,"新型农村",1,5,5,7,3,NA,5,5,0,7,"新型农村"
"95",130071432,33,1,"Contract",30000,1,NA,150,500,5,4,4,79,10,10,8,10,2,"新型农村",1,5,1,7,3,NA,5,5,2,2,"新型农村"
"96",130086101,45,1,"Contract",35000,5,NA,NA,NA,5,3,3,78,5,6,10,5,2,"新型农村",1,5,5,3,NA,NA,5,5,3,5,"新型农村"
"97",130088104,28,1,"Contract",36000,5,NA,300,NA,5,4,4,78,5,7,8,8,2,"公费治疗",1,5,5,7,5,NA,5,5,2,4,"公费治疗"
"98",130092104,25,1,"Contract",40000,5,NA,300,NA,5,2,4,78,8,7,7,9,1,"城镇治疗",1,1,3,4,7,77,5,5,0,7,"城镇治疗"
"99",130093102,54,1,"Contract",30000,5,NA,NA,NA,5,4,4,78,10,0,0,0,2,"新型农村",5,5,1,NA,NA,NA,NA,5,7,NA,"新型农村"
"100",130096103,29,1,"Contract",84000,1,2100,2100,NA,5,4,4,78,7,6,4,5,1,"城镇治疗",1,1,5,1,7,NA,5,NA,0,0,"城镇治疗"
"101",130099101,43,1,"Dispatch",50000,5,NA,NA,NA,5,4,4,79,8,5,8,10,2,"新型农村",1,5,1,7,5,NA,5,5,2,0,"新型农村"
"102",130115101,56,0,"Contract",66000,1,500,70,NA,1,4,4,78,5,7,7,5,2,"城镇治疗",1,1,4,3,NA,NA,5,5,2,7,"城镇治疗"
"103",130115102,53,1,"Contract",66000,1,600,300,NA,1,4,4,78,3,7,7,7,2,"城镇治疗",1,1,5,3,NA,NA,5,5,2,5,"城镇治疗"
"104",130121103,30,0,"Contract",80000,1,NA,NA,1000,1,4,4,2,7,6,5,4,2,"城镇治疗",1,1,5,1,7,NA,5,5,0,0,"城镇治疗"
"105",130131101,47,1,"Contract",96000,1,1000,NA,NA,5,4,4,78,5,6,8,7,2,"一无所有",1,1,4,1,NA,NA,5,NA,7,7,"一无所有"
"106",130133102,35,0,"Contract",30000,5,NA,833,250,5,4,4,78,6,6,7,7,2,"城镇治疗",1,1,5,1,7,NA,5,5,5,2,"城镇治疗"
"107",130140101,39,0,"Contract",40000,1,290,NA,NA,5,4,4,78,5,7,8,6,2,"城镇治疗",1,1,5,1,6,NA,5,5,7,7,"城镇治疗"
"108",130140102,39,1,"Contract",58000,1,200,500,NA,5,4,5,78,5,10,10,5,2,"城镇治疗",1,5,3,3,7,NA,5,NA,2,7,"城镇治疗"
"109",130152103,31,1,"Contract",50000,1,NA,NA,NA,5,4,4,78,8,8,5,6,1,"城镇治疗",1,1,5,1,6,4,5,NA,0,7,"城镇治疗"
"110",130153103,27,1,"Contract",42000,1,400,300,500,5,4,4,78,3,6,8,5,2,"城镇治疗",1,1,4,1,6,4,5,1,3,5,"城镇治疗"
"111",130153601,28,0,"Contract",17200,1,300,350,300,5,5,5,78,8,8,6,5,2,"新型农村",1,1,5,1,6,NA,5,5,3,5,"新型农村"
"112",130167104,33,1,"Dispatch",45000,1,600,500,NA,1,2,2,78,5,7,5,7,2,"城镇治疗",1,1,5,3,5,1,5,5,3,5,"城镇治疗"
"113",130175102,33,1,"Contract",36000,5,NA,NA,500,5,4,4,78,1,7,8,6,2,"城镇治疗",1,5,4,3,5,NA,5,NA,0,3,"城镇治疗"
"114",130175103,30,0,"Contract",30000,5,NA,228,NA,5,4,4,78,5,5,8,7,2,"城镇治疗",1,1,5,1,4,NA,5,5,0,1,"城镇治疗"
"115",130175551,29,1,"Dispatch",8100,5,NA,1300,NA,5,4,4,78,10,8,5,5,2,"城镇居民",5,1,5,1,5,NA,5,5,2,2,"城镇居民"
"116",130189101,44,0,"Contract",40000,1,300,600,NA,5,4,4,78,8,6,7,10,2,"城镇治疗",1,5,3,2,6,NA,5,5,7,3,"城镇治疗"
"117",130189102,50,1,"Contract",60000,1,300,600,NA,5,4,4,78,7,10,8,7,2,"城镇治疗",1,1,3,2,NA,NA,5,5,3,5,"城镇治疗"
"118",130193103,32,1,"Contract",40000,5,NA,NA,NA,5,2,4,78,1,10,8,10,1,"城镇居民",1,5,4,7,5,NA,5,5,3,5,"城镇居民"
"119",130195431,43,0,"Contract",23000,1,200,NA,NA,5,2,4,79,10,3,8,5,4,"城镇治疗",1,1,5,1,5,NA,5,1,0,7,"城镇治疗"
"120",130197101,48,0,"Contract",30000,5,NA,320,200,5,4,4,78,8,5,6,7,2,"城镇治疗",1,1,5,1,NA,NA,5,5,2,0,"城镇治疗"
"121",130197102,47,1,"Contract",38400,5,NA,300,NA,5,2,4,3,7,10,7,8,2,"城镇治疗",1,5,5,7,NA,NA,5,NA,4,2,"城镇治疗"
"122",130197103,21,1,"Contract",2000,1,100,320,NA,5,3,4,78,2,10,1,1,1,"城镇治疗",1,1,5,3,6,77,5,5,6,7,"城镇治疗"
"123",130199101,68,0,"Contract",NA,NA,NA,NA,NA,1,4,4,78,2,3,3,4,2,"城镇治疗",5,5,1,NA,NA,NA,NA,5,6,NA,"城镇治疗"
"124",130199103,43,0,"Dispatch",50000,1,400,500,NA,1,4,4,78,10,3,5,8,2,"城镇治疗",1,1,5,5,6,NA,5,NA,1,5,"城镇治疗"
"125",130199104,43,1,"Contract",70000,5,NA,500,NA,5,2,4,78,5,9,6,8,2,"城镇治疗",1,1,5,1,6,NA,5,NA,7,7,"城镇治疗"
"126",130207102,40,1,"Contract",57600,1,NA,NA,1000,1,5,4,78,7,6,9,7,2,"城镇治疗",1,1,5,7,7,NA,5,1,2,7,"城镇治疗"
"127",130207108,34,0,"Contract",60000,5,NA,261,200,5,4,4,1,8,5,5,7,2,"新型农村",1,5,3,7,4,NA,5,5,0,4,"新型农村"
"128",130218431,31,0,"Dispatch",25000,5,NA,837,NA,1,3,2,78,5,5,5,10,2,"城镇治疗",1,5,5,7,6,NA,5,5,7,7,"城镇治疗"
"129",130220101,69,1,"Contract",NA,NA,NA,NA,NA,1,3,3,78,5,5,5,7,2,"新型农村",5,5,1,NA,NA,NA,NA,5,7,NA,"新型农村"
"130",130220104,35,1,"Contract",45000,1,400,500,NA,5,4,4,78,4,7,3,8,2,"城镇治疗",1,1,4,1,7,NA,5,5,3,6,"城镇治疗"
"131",130223103,48,1,"Contract",50000,5,NA,0,NA,5,4,4,79,7,9,7,8,2,"新型农村",1,5,3,4,NA,NA,5,5,7,3,"新型农村"
"132",130223104,24,1,"Contract",6000,1,300,600,NA,1,5,5,78,6,5,7,5,1,"城镇治疗",1,1,4,1,7,NA,5,5,3,3,"城镇治疗"
"133",130227103,46,1,"Contract",18000,1,300,500,NA,5,2,4,79,4,9,7,8,2,"城镇治疗",1,5,4,2,NA,NA,5,NA,7,2,"城镇治疗"
"134",130231101,53,0,"Contract",22200,5,NA,NA,NA,5,3,5,79,4,6,5,4,2,"新型农村",5,5,3,NA,NA,NA,NA,5,7,NA,"新型农村"
"135",130231102,27,1,"Contract",36000,5,NA,NA,NA,5,4,4,78,5,6,6,6,2,"城镇治疗",1,1,5,1,6,NA,5,5,4,7,"城镇治疗"
"136",130235101,38,1,"Contract",120000,1,400,2000,500,1,4,4,78,6,5,7,8,2,"城镇治疗",1,1,5,1,8,NA,5,NA,1,5,"城镇治疗"
"137",130235102,64,1,"Contract",NA,NA,NA,NA,NA,1,4,3,79,5,6,6,8,2,"城镇治疗",5,5,1,NA,NA,NA,NA,NA,1,NA,"城镇治疗"
"138",130235431,35,0,"Contract",1e+05,1,500,1000,5000,1,4,5,78,6,5,6,4,2,"城镇治疗",1,1,5,3,8,NA,5,1,2,5,"城镇治疗"
"139",130254102,60,1,"Contract",60000,1,700,NA,NA,1,4,4,78,5,8,8,8,2,"公费治疗",1,5,3,7,NA,NA,5,NA,7,7,"公费治疗"
"140",130254103,33,0,"Contract",60000,5,NA,800,NA,1,4,4,78,4,9,8,9,2,"城镇治疗",1,1,4,2,7,NA,5,1,2,3,"城镇治疗"
"141",130255103,35,0,"Contract",56200,5,NA,NA,NA,1,3,4,78,5,8,10,10,2,"城镇治疗",1,1,5,1,7,NA,5,5,7,7,"城镇治疗"
"142",130268103,31,0,"Contract",140000,1,1500,NA,NA,5,4,4,78,6,8,8,8,2,"城镇治疗",1,1,5,1,8,NA,5,5,3,3,"城镇治疗"
"143",130281103,30,1,"Dispatch",60000,5,NA,300,2000,5,4,4,2,5,7,5,7,2,"城镇治疗",1,1,4,1,7,77,5,5,1,7,"城镇治疗"
"144",130281104,28,0,"Contract",1e+05,5,NA,NA,NA,5,4,4,78,1,9,8,9,2,"城镇治疗",1,1,4,NA,7,NA,1,NA,0,2,"城镇治疗"
"145",130295102,32,1,"Contract",40000,1,120,458,NA,1,2,4,78,6,9,7,6,2,"公费治疗",1,5,4,2,5,NA,5,5,5,5,"公费治疗"
"146",130297101,42,0,"Dispatch",48400,1,400,200,NA,5,3,4,78,3,5,6,6,2,"城镇治疗",1,1,5,1,7,NA,5,5,7,7,"城镇治疗"
"147",130311106,31,0,"Dispatch",29200,1,940,NA,NA,5,4,4,78,6,10,10,10,2,"新型农村",1,1,5,1,7,NA,5,5,3,0,"新型农村"
"148",130312104,25,1,"Contract",50000,1,240,700,NA,5,4,2,2,3,10,10,8,2,"城镇治疗",1,1,5,1,7,NA,5,5,7,7,"城镇治疗"
"149",130312551,26,0,"Contract",30000,1,300,300,1500,5,4,4,78,6,5,5,6,2,"一无所有",1,1,3,NA,7,NA,5,5,2,2,"一无所有"
"150",130315103,25,1,"Dispatch",36000,5,NA,150,NA,5,3,3,78,5,5,10,5,2,"新型农村",5,5,3,NA,4,NA,NA,5,0,NA,"新型农村"
"151",130319104,28,1,"Dispatch",25000,5,NA,NA,NA,5,4,4,78,7,3,7,7,2,"城镇治疗",1,1,5,1,8,NA,5,5,3,7,"城镇治疗"
"152",130319553,28,0,"Contract",50000,1,400,800,NA,1,5,5,78,7,5,5,8,2,"城镇治疗",1,1,5,1,7,NA,5,NA,0,7,"城镇治疗"
"153",130324105,25,0,"Contract",13200,1,100,500,NA,5,1,4,78,5,5,8,5,2,"城镇治疗",1,1,5,1,6,NA,5,5,0,0,"城镇治疗"
"154",130325103,31,1,"Contract",75000,1,400,800,1000,5,2,2,1,3,10,8,8,2,"城镇治疗",1,1,5,1,7,4,5,5,0,3,"城镇治疗"
"155",130325104,28,1,"Contract",5000,1,248,496,NA,5,4,4,78,5,8,7,10,1,"公费治疗",1,1,3,NA,8,77,5,5,2,1,"公费治疗"
"156",130368431,39,1,"Contract",3e+05,1,500,2000,NA,5,4,4,78,7,7,7,7,2,"城镇治疗",1,1,5,1,7,NA,1,5,2,7,"城镇治疗"
"157",130381105,42,1,"Contract",50000,5,NA,200,NA,5,2,2,78,3,10,10,10,2,"新型农村",1,5,5,7,4,NA,5,NA,0,7,"新型农村"
"158",130382102,65,1,"Contract",44000,5,NA,10,400,1,4,4,78,3,10,10,5,2,"城镇治疗",1,5,1,1,NA,NA,5,5,0,7,"城镇治疗"
"159",130385101,35,1,"Contract",22000,5,NA,NA,NA,5,3,4,79,4,10,10,10,1,"一无所有",1,5,5,1,3,NA,5,5,0,7,"一无所有"
"160",130391105,27,1,"Contract",40000,5,NA,600,NA,5,3,3,2,0,10,10,10,2,"新型农村",1,1,5,1,4,NA,5,5,7,7,"新型农村"
"161",130396101,51,1,"Contract",36000,1,0,0,NA,5,4,4,78,6,8,6,6,2,"新型农村",1,5,3,7,NA,NA,5,5,0,0,"新型农村"
